2026-01-11_19-51-22.480060 cmd INFO ----------------------- program start ----------------------- [megacmd.cpp:5468]
2026-01-11_19-51-22.489438 cmd DBG  MEGAcmd version: 2.3.0.0: code 2030000 [megacmd.cpp:5469]
2026-01-11_19-51-22.496153 cmd DBG  MEGA SDK version: 337dbd59d [megacmd.cpp:5470]
2026-01-11_19-51-22.508156 sdk ERR  Unable to FileAccess::fopen('C:\Users\DanPa\AppData\Local\MEGAcmd\.megaCmd\jid'): sysstat() failed: error code: 2: The system cannot find the file specified. [filesystem.cpp:883]
2026-01-11_19-51-22.522133 cmd DBG  Language set to: en [megacmd.cpp:5484]
2026-01-11_19-51-22.527109 cmd DBG  Loading 5 auxiliar MegaApi folders [megacmd.cpp:5493]
2026-01-11_19-51-22.534018 cmd DBG  Creating directory \\?\C:\Users\DanPa\AppData\Local\MEGAcmd\.megaCmd\apiFolder_0 [configurationmanager.cpp:100]
2026-01-11_19-51-22.546089 sdk ERR  Unable to FileAccess::fopen('C:\Users\DanPa\AppData\Local\MEGAcmd\.megaCmd\apiFolder_0\jid'): sysstat() failed: error code: 2: The system cannot find the file specified. [filesystem.cpp:883]
2026-01-11_19-51-22.561963 cmd DBG  Creating directory \\?\C:\Users\DanPa\AppData\Local\MEGAcmd\.megaCmd\apiFolder_1 [configurationmanager.cpp:100]
2026-01-11_19-51-22.573225 sdk ERR  Unable to FileAccess::fopen('C:\Users\DanPa\AppData\Local\MEGAcmd\.megaCmd\apiFolder_1\jid'): sysstat() failed: error code: 2: The system cannot find the file specified. [filesystem.cpp:883]
2026-01-11_19-51-22.593588 cmd DBG  Creating directory \\?\C:\Users\DanPa\AppData\Local\MEGAcmd\.megaCmd\apiFolder_2 [configurationmanager.cpp:100]
2026-01-11_19-51-22.609620 sdk ERR  Unable to FileAccess::fopen('C:\Users\DanPa\AppData\Local\MEGAcmd\.megaCmd\apiFolder_2\jid'): sysstat() failed: error code: 2: The system cannot find the file specified. [filesystem.cpp:883]
2026-01-11_19-51-22.627656 cmd DBG  Creating directory \\?\C:\Users\DanPa\AppData\Local\MEGAcmd\.megaCmd\apiFolder_3 [configurationmanager.cpp:100]
2026-01-11_19-51-22.641470 sdk ERR  Unable to FileAccess::fopen('C:\Users\DanPa\AppData\Local\MEGAcmd\.megaCmd\apiFolder_3\jid'): sysstat() failed: error code: 2: The system cannot find the file specified. [filesystem.cpp:883]
2026-01-11_19-51-22.660635 cmd DBG  Creating directory \\?\C:\Users\DanPa\AppData\Local\MEGAcmd\.megaCmd\apiFolder_4 [configurationmanager.cpp:100]
2026-01-11_19-51-22.672080 sdk ERR  Unable to FileAccess::fopen('C:\Users\DanPa\AppData\Local\MEGAcmd\.megaCmd\apiFolder_4\jid'): sysstat() failed: error code: 2: The system cannot find the file specified. [filesystem.cpp:883]
2026-01-11_19-51-22.690756 cmd DBG  Control handler set [megacmd.cpp:5553]
2026-01-11_19-51-22.696284 cmd DBG  Registering automatic updater [megacmd.cpp:5572]
2026-01-11_19-51-22.754130 cmd ERR  Update task registered OK [megacmd.cpp:5147]
2026-01-11_19-51-22.772077 cmd INFO Listening to petitions ...  [megacmd.cpp:4617]
2026-01-11_19-51-22.867488 cmd DBG  Registering state listener petition with namedPipe: 0000000000000410 [comunicationsmanagernamedpipes.cpp:197]
2026-01-11_19-51-22.877213 cmd DBG  Client arrived first when connecting to namedPipe to inform state. 0000000000000410 [comunicationsmanagernamedpipes.cpp:393]
2026-01-11_19-51-23.682934 cmd DBG  Couldn't get latests available version: Bad session ID [megacmd.cpp:5666]
2026-01-11_19-51-23.691712 cmd INFO Starting autoupdate check mechanism [megacmd.cpp:4485]
2026-01-11_19-51-23.698605 cmd DBG  No PSA request (not logged into an account) [megacmdexecuter.cpp:1022]
2026-01-11_19-51-23.706271 cmd DBG  Client arrived first when connecting to namedPipe to inform state. 0000000000000410 [comunicationsmanagernamedpipes.cpp:393]
2026-01-11_19-51-23.718048 cmd DBG  Initiating recurrent checkForUpdates [megacmd.cpp:4501]
2026-01-11_19-51-24.162220 cmd DBG  Starting download: test.txt to : \\?\C:\Users\DanPa\Documents\Downloader\ [megacmdexecuter.cpp:3354]
2026-01-11_19-51-24.661433 cmd DBG  TRANSFERRING ||###################################################################################|(0/0 KB: 100.00 %)  [listeners.cpp:1084]
2026-01-11_19-51-24.695420 cmd DBG  Client arrived first when connecting to namedPipe to inform state. 0000000000000410 [comunicationsmanagernamedpipes.cpp:393]
2026-01-11_19-51-24.710007 cmd DBG  Client arrived first when connecting to namedPipe to inform state. 0000000000000410 [comunicationsmanagernamedpipes.cpp:393]
2026-01-11_19-51-24.723171 cmd DBG  Client arrived first when connecting to namedPipe to inform state. 0000000000000410 [comunicationsmanagernamedpipes.cpp:393]
2026-01-11_19-52-03.327571 cmd DBG  Registering state listener petition with namedPipe: 00000000000004FC [comunicationsmanagernamedpipes.cpp:197]
2026-01-11_19-52-03.339395 cmd DBG  Client probably disconnected: 0000000000000410 [comunicationsmanagernamedpipes.cpp:397]
2026-01-11_19-52-03.360590 cmd DBG  Client arrived first when connecting to namedPipe to inform state. 00000000000004FC [comunicationsmanagernamedpipes.cpp:393]
2026-01-11_19-52-03.375928 cmd DBG  No PSA request (not logged into an account) [megacmdexecuter.cpp:1022]
2026-01-11_19-52-03.387563 cmd DBG  Client arrived first when connecting to namedPipe to inform state. 00000000000004FC [comunicationsmanagernamedpipes.cpp:393]
2026-01-11_19-52-03.941896 cmd DBG  Starting download: test.txt to : \\?\C:\Users\DanPa\Documents\Downloader\downloads\ [megacmdexecuter.cpp:3354]
2026-01-11_19-52-04.417058 cmd DBG  TRANSFERRING ||###################################################################################|(0/0 KB: 100.00 %)  [listeners.cpp:1084]
2026-01-11_19-52-04.428510 cmd DBG  Client arrived first when connecting to namedPipe to inform state. 00000000000004FC [comunicationsmanagernamedpipes.cpp:393]
2026-01-11_19-52-04.437774 cmd DBG  Client arrived first when connecting to namedPipe to inform state. 00000000000004FC [comunicationsmanagernamedpipes.cpp:393]
2026-01-11_19-52-04.463698 cmd DBG  Client arrived first when connecting to namedPipe to inform state. 00000000000004FC [comunicationsmanagernamedpipes.cpp:393]
2026-01-11_19-52-23.945347 cmd DBG  Executing updater... [megacmd.cpp:3760]
